trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_deserialize_avg_ms,gateway_A_gateway_deserialize_p95_ms,gateway_A_gateway_avg_payload_bytes,gateway_A_gateway_samples_seen,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_deserialize_avg_ms,gateway_B_gateway_deserialize_p95_ms,gateway_B_gateway_avg_payload_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_payload_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_payload_bytes
attempt:20:round:13,20,13,2026-04-19 13:00:51,0.95,0.145308,0.293672,0.304597,0.561182,0.470538,0.8999999761581421,0.2793820798397064,30,2026-04-19 13:00:51,33.0,0.12675757575757576,0.3347999999999998,429.3030303030303,30.0,1.0,0.0112333437427878,30,2026-04-19 13:00:44,33.0,0.11815151515151515,0.2863999999999998,431.1212121212121,30.0,2.0,0.0,0.0,3636.5,1.0,0.251,0.251,3545.0
attempt:20:round:14,20,14,2026-04-19 13:01:41,0.933333,0.155222,0.293451,0.300691,0.562129,0.473785,0.8666666746139526,0.3052573502063751,30,2026-04-19 13:01:41,33.0,0.14172727272727273,0.3209999999999998,430.0,30.0,1.0,0.0051867137663066,30,2026-04-19 13:01:34,34.0,0.1393235294117647,0.4041999999999997,421.52941176470586,31.0,2.0,0.0,0.0,3640.5,1.0,0.21,0.21,3553.0
attempt:20:round:15,20,15,2026-04-19 13:02:31,0.95,0.213786,0.294151,0.301847,0.560787,0.476815,0.8999999761581421,0.413937360048294,30,2026-04-19 13:02:31,33.0,0.12975757575757577,0.3199999999999998,429.90909090909093,30.0,1.0,0.0136355999857187,30,2026-04-19 13:02:24,33.0,0.14875757575757576,0.4065999999999994,431.030303030303,30.0,2.0,0.0,0.0,3637.5,1.0,0.201,0.201,3537.0
attempt:20:round:16,20,16,2026-04-19 13:03:21,0.966667,0.114939,0.294228,0.299936,0.561963,0.478472,0.9333333373069764,0.223761111497879,30,2026-04-19 13:03:21,33.0,0.13893939393939395,0.3495999999999998,428.54545454545456,30.0,1.0,0.0061164209619164,30,2026-04-19 13:03:14,32.0,0.13284375,0.4205999999999999,440.875,29.0,2.0,0.0,0.0,3641.0,1.0,0.208,0.208,3542.0
attempt:20:round:17,20,17,2026-04-19 13:04:11,0.966667,0.121625,0.294799,0.299364,0.565732,0.484787,0.9333333373069764,0.2302645891904831,30,2026-04-19 13:04:11,33.0,0.14521212121212124,0.35319999999999974,432.06060606060606,30.0,1.0,0.012984961271286,30,2026-04-19 13:04:04,33.0,0.1449090909090909,0.3581999999999996,431.1515151515151,30.0,2.0,0.0,0.0,3640.0,1.0,0.223,0.223,3556.0
attempt:20:round:18,20,18,2026-04-19 13:05:01,0.916667,0.134133,0.296157,0.302244,0.567032,0.490064,0.8333333134651184,0.2647937536239624,30,2026-04-19 13:05:01,33.0,0.14660606060606057,0.3927999999999996,429.030303030303,30.0,1.0,0.0034718348179012,30,2026-04-19 13:04:54,33.0,0.12496969696969698,0.3117999999999998,431.0,30.0,2.0,0.0,0.0,3628.5,1.0,0.127,0.127,3539.0
attempt:20:round:19,20,19,2026-04-19 13:05:51,0.95,0.104689,0.297412,0.302628,0.569881,0.495209,0.8999999761581421,0.1960943192243576,30,2026-04-19 13:05:51,33.0,0.15593939393939393,0.4114,428.3030303030303,30.0,1.0,0.0132838310673832,30,2026-04-19 13:05:44,33.0,0.1322121212121212,0.30279999999999974,429.57575757575756,30.0,2.0,0.0,0.0,3631.5,1.0,0.146,0.146,3534.0
attempt:20:round:20,20,20,2026-04-19 13:06:41,0.966667,0.058061,0.298212,0.303239,0.573932,0.499914,0.9333333373069764,0.1091905757784843,30,2026-04-19 13:06:41,33.0,0.12796969696969696,0.39979999999999993,428.6363636363636,30.0,1.0,0.0069315931759774,30,2026-04-19 13:06:34,33.0,0.14,0.3883999999999999,430.7878787878788,30.0,2.0,0.0,0.0,3639.5,1.0,0.195,0.195,3543.0
attempt:21:round:1,21,1,2026-04-19 13:11:22,0.75,0.864637,0.285884,0.290759,0.540281,0.410789,0.7666666507720947,0.8896997570991516,30,2026-04-19 13:11:22,32.0,0.1378125,0.2572499999999998,332.875,30.0,0.7333333492279053,0.839574933052063,30,2026-04-19 13:11:20,37.0,0.1236756756756757,0.2232,303.56756756756755,35.0,2.0,0.0,0.0,3630.0,1.0,0.196,0.196,3536.0
attempt:21:round:2,21,2,2026-04-19 13:12:06,0.95,0.179307,0.290475,0.295107,0.555971,0.426914,0.9333333373069764,0.2457086443901062,30,2026-04-19 13:12:06,33.0,0.14669696969696971,0.39019999999999977,429.75757575757575,30.0,0.9666666388511658,0.1129047200083732,30,2026-04-19 13:12:04,29.0,0.1566896551724138,0.31959999999999966,473.2068965517241,26.0,2.0,0.0,0.0,3628.0,1.0,0.156,0.156,3529.0
