attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_payload_bytes,min_payload_bytes,max_payload_bytes
24,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.4533499999999999,0.4315,0.5344500000000001,0.6,3639.05,3620.0,3651.0
24,gateway_transport,gateway_B,ESP32->RPi,deserialize,605.0,0.13300330578512395,0.145,0.18099999999999977,0.32,115.52561983471074,81.0,124.0
24,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.25589999999999996,0.2305,0.3019500000000002,0.624,3536.45,3525.0,3550.0
24,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.4132999999999999,0.377,0.46370000000000045,1.066,3536.45,3525.0,3550.0
24,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.4718,0.459,0.5473500000000001,0.592,3638.4,3624.0,3656.0
24,server_transport,Asus,PC->RPi,serialize,20.0,0.2065,0.2155,0.23854999999999998,0.249,3536.45,3525.0,3550.0
24,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3638.725,3620.0,3656.0
25,gateway_transport,gateway_A,ESP32->RPi,deserialize,604.0,0.1238791390728477,0.136,0.17685,0.995,115.46026490066225,81.0,124.0
25,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.27829999999999994,0.2285,0.47460000000000013,0.619,3537.25,3523.0,3550.0
25,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.44055,0.3845,0.7754500000000002,1.069,3537.25,3523.0,3550.0
25,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.4959999999999999,0.436,0.6283000000000006,1.489,3639.3,3605.0,3660.0
25,gateway_transport,gateway_B,ESP32->RPi,deserialize,601.0,0.13452745424292845,0.146,0.197,0.259,114.5973377703827,81.0,124.0
25,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.25639999999999996,0.2515,0.2957,0.347,3537.25,3523.0,3550.0
25,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.40255,0.3915,0.45350000000000007,0.558,3537.25,3523.0,3550.0
25,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.44605000000000006,0.444,0.48815000000000003,0.51,3640.65,3622.0,3655.0
25,server_transport,Asus,PC->RPi,serialize,20.0,0.20249999999999999,0.2145,0.22625000000000003,0.25,3537.25,3523.0,3550.0
25,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3639.975,3605.0,3660.0
26,gateway_transport,gateway_A,ESP32->RPi,deserialize,602.0,0.11366279069767442,0.1325,0.15394999999999992,0.25,115.47508305647841,81.0,124.0
26,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.23620000000000002,0.224,0.30519999999999997,0.309,3537.0,3523.0,3550.0
26,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.74175,0.3745,0.8550500000000051,7.62,3537.0,3523.0,3550.0
26,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.44234999999999997,0.429,0.54005,0.541,3640.9,3624.0,3656.0
26,gateway_transport,gateway_B,ESP32->RPi,deserialize,602.0,0.1258687707641196,0.143,0.157,0.29,115.19767441860465,81.0,124.0
26,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.22644999999999998,0.2245,0.25265,0.265,3537.0,3523.0,3550.0
26,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.37765,0.3755,0.41305000000000003,0.452,3537.0,3523.0,3550.0
26,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.43745,0.4385,0.47104999999999997,0.472,3640.8,3615.0,3655.0
26,server_transport,Asus,PC->RPi,serialize,20.0,0.20505,0.213,0.23575,0.25,3537.0,3523.0,3550.0
26,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3640.85,3615.0,3656.0
27,gateway_transport,gateway_A,ESP32->RPi,deserialize,602.0,0.12014285714285713,0.135,0.15879999999999972,0.227,115.44019933554817,81.0,124.0
27,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.2685,0.2595,0.3254,0.352,3535.3,3520.0,3551.0
27,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.39385,0.381,0.47719999999999996,0.481,3535.3,3520.0,3551.0
27,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.44959999999999994,0.4315,0.50525,0.529,3638.95,3615.0,3652.0
27,gateway_transport,gateway_B,ESP32->RPi,deserialize,614.0,0.1340097719869707,0.146,0.19110000000000013,0.952,114.99837133550488,81.0,124.0
27,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.26355,0.23,0.32575000000000026,0.682,3535.3,3520.0,3551.0
27,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.41555,0.3785,0.5714500000000003,1.017,3535.3,3520.0,3551.0
27,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.47045000000000003,0.4585,0.6042,0.627,3640.65,3622.0,3662.0
27,server_transport,Asus,PC->RPi,serialize,20.0,0.23710000000000003,0.202,0.2902500000000004,0.827,3535.3,3520.0,3551.0
27,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3639.8,3615.0,3662.0
28,gateway_transport,gateway_A,ESP32->RPi,deserialize,601.0,0.11639267886855241,0.136,0.15,0.249,115.12811980033278,81.0,124.0
28,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.24675000000000002,0.224,0.2791000000000003,0.642,3533.55,3520.0,3543.0
28,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.40495000000000003,0.3715,0.48820000000000036,0.967,3533.55,3520.0,3543.0
28,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.45184999999999986,0.4375,0.5186000000000001,0.587,3636.5,3603.0,3658.0
28,gateway_transport,gateway_B,ESP32->RPi,deserialize,601.0,0.11350415973377705,0.117,0.157,0.321,115.10316139767055,81.0,124.0
28,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.23735,0.232,0.27330000000000004,0.279,3533.55,3520.0,3543.0
28,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.4178,0.3875,0.62515,0.647,3533.55,3520.0,3543.0
28,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.46959999999999996,0.4735,0.5265500000000001,0.537,3636.6,3620.0,3652.0
28,server_transport,Asus,PC->RPi,serialize,20.0,0.22704999999999997,0.216,0.26420000000000027,0.648,3533.55,3520.0,3543.0
28,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3636.55,3603.0,3658.0
29,gateway_transport,gateway_A,ESP32->RPi,deserialize,604.0,0.11679470198675496,0.1345,0.149,0.385,111.99172185430463,81.0,124.0
29,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.30039999999999994,0.2895,0.3844000000000001,0.449,3535.25,3526.0,3547.0
29,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.43765,0.425,0.5103500000000001,0.631,3535.25,3526.0,3547.0
29,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.4454999999999999,0.4345,0.5137,0.565,3636.0,3618.0,3645.0
29,gateway_transport,gateway_B,ESP32->RPi,deserialize,601.0,0.12359234608985024,0.126,0.192,0.393,112.01663893510815,81.0,124.0
29,gateway_transport,gateway_B,PC->RPi,deserialize,19.0,0.22584210526315787,0.221,0.2557,0.262,3535.2631578947367,3526.0,3547.0
29,gateway_transport,gateway_B,RPi->ESP32,serialize,19.0,0.3694736842105263,0.371,0.40040000000000003,0.404,3535.2631578947367,3526.0,3547.0
29,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.4584499999999999,0.4545,0.5225000000000001,0.532,3636.7,3615.0,3652.0
29,server_transport,Asus,PC->RPi,serialize,20.0,0.17975,0.184,0.2352,0.239,3535.25,3526.0,3547.0
29,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3636.35,3615.0,3652.0
