round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,round_duration_sec,w3_drift_abs,w4_normal_drift_abs,w4_brute_drift_abs,w4_scan_drift_abs,weight_drift_total_abs
2,13:12:06,0.95,0.179307,0.290475,0.295107,0.555971,0.426914,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:12:06,model.global_round,2,aggregate,server,44.0,0.004590999999999956,0.0043480000000000185,0.015689999999999982,0.016125,0.04075399999999996
3,13:12:56,1.0,0.049309,0.294769,0.30408,0.566427,0.438806,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:12:56,model.global_round,3,aggregate,server,50.0,0.00429400000000002,0.008973000000000009,0.01045600000000002,0.011891999999999958,0.03561500000000001
4,13:13:47,0.983333,0.04618,0.29763,0.30959,0.573693,0.447503,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:13:47,model.global_round,4,aggregate,server,51.0,0.0028610000000000024,0.005509999999999959,0.007265999999999995,0.00869700000000001,0.024333999999999967
5,13:14:43,0.983333,0.037669,0.29947,0.313217,0.578148,0.452793,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:14:43,model.global_round,5,aggregate,server,56.0,0.0018400000000000083,0.003627000000000047,0.004454999999999987,0.005290000000000017,0.015212000000000059
6,13:15:33,0.933333,0.156889,0.295697,0.309219,0.571297,0.450521,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:15:33,model.global_round,6,aggregate,server,50.0,0.0037730000000000263,0.0039980000000000016,0.0068509999999999405,0.0022719999999999962,0.016893999999999965
7,13:16:23,0.966667,0.128763,0.295117,0.309677,0.571741,0.451244,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:16:23,model.global_round,7,aggregate,server,50.0,0.0005799999999999694,0.00045799999999995844,0.00044399999999999995,0.0007229999999999737,0.0022049999999999015
8,13:17:13,0.916667,0.205543,0.29536,0.307393,0.572742,0.455506,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:17:13,model.global_round,8,aggregate,server,50.0,0.00024299999999999322,0.0022839999999999527,0.0010009999999999186,0.0042620000000000435,0.007789999999999908
9,13:18:04,0.9,0.210123,0.295461,0.304204,0.573027,0.457324,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:18:04,model.global_round,9,aggregate,server,51.0,0.00010099999999996223,0.003189000000000053,0.0002849999999999797,0.0018179999999999863,0.005392999999999981
10,13:18:53,0.95,0.135291,0.295781,0.303503,0.572847,0.463479,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:18:53,model.global_round,10,aggregate,server,49.0,0.00032000000000004247,0.0007009999999999517,0.00017999999999995797,0.006154999999999966,0.007355999999999918
11,13:19:43,0.95,0.118962,0.296238,0.305152,0.573115,0.469243,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:19:43,model.global_round,11,aggregate,server,50.0,0.0004569999999999852,0.001648999999999956,0.000268000000000046,0.005764000000000047,0.008138000000000034
