experiment,architecture,security,topology,mode,attempt_id,attempt_key,rounds_observed,first_round,last_round,round_completion_rate,last_global_accuracy,best_global_accuracy,avg_global_accuracy,last_global_loss,min_global_loss,avg_global_loss,avg_round_duration_sec,p95_round_duration_sec,max_round_duration_sec,avg_w3_mag_drift,avg_w4_normal_drift,avg_w4_brute_drift,avg_w4_scan_drift
RN_ASCON,RN,ASCON,standard,ascon,2,RN_ASCON#2,4,1,4,0.13333333333333333,0.933333,0.933333,0.8291664999999999,0.142698,0.142698,0.42747125,57.333333333333336,58.9,59.0,0.0016573333333333256,0.0024416666666666567,0.006444666666666654,0.008251666666666657
RN_ASCON,RN,ASCON,standard,ascon,3,RN_ASCON#3,30,1,30,1.0,0.916667,1.0,0.8988889,0.214765,0.015347,0.24572223333333335,65.24137931034483,61.0,243.0,0.0015663448275862037,0.003620310344827582,0.003412379310344851,0.0061747931034482695
RN_ASCON,RN,ASCON,standard,ascon,4,RN_ASCON#4,20,1,20,0.6666666666666666,0.983333,1.0,0.9391665499999998,0.037074,0.037074,0.1678272,63.473684210526315,70.79999999999984,141.0,0.0014395263157894716,0.0027878947368421034,0.0037911052631578925,0.0037902105263157904
RN_ASCON,RN,ASCON,standard,ascon,5,RN_ASCON#5,20,1,20,0.6666666666666666,0.983333,1.0,0.9424999,0.038647,0.015779,0.1754894,64.63157894736842,70.99999999999977,170.0,0.0012648947368421096,0.002934526315789478,0.003808684210526322,0.004889157894736829
RN_ASCON,RN,ASCON,standard,ascon,6,RN_ASCON#6,20,1,20,0.6666666666666666,0.916667,1.0,0.9525000499999999,0.237888,0.010663,0.17176534999999998,60.63157894736842,65.49999999999997,79.0,0.0011903157894736767,0.00397894736842105,0.005334052631578957,0.004601421052631581
RN_ASCON,RN,ASCON,standard,ascon,7,RN_ASCON#7,20,1,20,0.6666666666666666,0.966667,1.0,0.9533333500000001,0.151863,0.022362,0.14040735000000001,59.473684210526315,61.39999999999999,65.0,0.0011966842105263133,0.003159421052631585,0.004058263157894727,0.004633473684210529
RN_ASCON,RN,ASCON,standard,ascon,8,RN_ASCON#8,20,1,20,0.6666666666666666,0.95,1.0,0.9508333,0.151913,0.012422,0.15097475,59.68421052631579,63.199999999999996,65.0,0.0014071052631578953,0.0035457368421052578,0.004451684210526319,0.004343263157894736
RN_ASCON,RN,ASCON,standard,ascon,9,RN_ASCON#9,20,1,20,0.6666666666666666,0.933333,1.0,0.9091666500000002,0.178108,0.024904,0.23960004999999995,59.36842105263158,61.499999999999986,66.0,0.0014631578947368446,0.0041253157894736775,0.004606368421052624,0.0055755263157894735
RN_ASCON,RN,ASCON,standard,ascon,10,RN_ASCON#10,20,1,20,0.6666666666666666,0.933333,1.0,0.9158332999999999,0.139853,0.009494,0.23254934999999993,59.473684210526315,62.3,65.0,0.0019683157894736865,0.004808210526315795,0.005455105263157891,0.006500947368421048
RN_ASCON,RN,ASCON,standard,ascon,11,RN_ASCON#11,20,1,20,0.6666666666666666,0.933333,1.0,0.9258333500000001,0.123043,0.012399,0.18720949999999997,59.31578947368421,62.59999999999999,68.0,0.0010362631578947374,0.003548473684210518,0.00433231578947369,0.005035631578947369
