experiment,architecture,security,topology,mode,attempt_id,attempt_key,fl_round,round_ref,gateway_count,local_accuracy_min,local_accuracy_max,local_accuracy_skew,local_loss_min,local_loss_max,local_loss_skew,gateway_sync_skew_sec
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,6,7.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0155958831310272,0.201882392168045,0.1862865090370178,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,7,8.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0209112726151943,0.2380230873823166,0.2171118147671223,8.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,8,9.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0093500101938843,0.331632524728775,0.3222825145348907,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,9,10.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0197151284664869,0.5781097412109375,0.5583946127444506,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,10,11.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0133302314206957,0.1792531460523605,0.1659229146316648,8.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,11,12.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0068332846276462,0.160391628742218,0.15355834411457178,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,12,13.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0112333437427878,0.2793820798397064,0.26814873609691864,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,13,14.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0051867137663066,0.3052573502063751,0.30007063644006854,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,14,15.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0136355999857187,0.413937360048294,0.40030176006257534,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,15,16.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0061164209619164,0.223761111497879,0.2176446905359626,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,16,17.0,2,0.9333333373069764,1.0,0.06666666269302357,0.012984961271286,0.2302645891904831,0.21727962791919708,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,17,18.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0034718348179012,0.2647937536239624,0.2613219188060612,7.0
