experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,7,0.9,0.335682,59.0,2.0,2.0,0.8999999761581421,0.33568239212036133,60.0,,,,60.0,4.443499999999999,231.4,2,11.753649999999999,4982.0,1,9.948,4830.0,69,32.732
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,8,0.983333,0.126509,59.0,2.0,2.0,0.9833333194255829,0.1265089027583599,60.0,,,,60.0,4.6712,231.13333333333333,2,10.95665,4976.0,1,10.523,4818.0,69,31.863999999999997
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,9,0.966667,0.089279,59.0,2.0,2.0,0.9666666388511658,0.08927891775965685,60.0,,,,60.0,4.41285,230.33333333333334,2,10.6964,4978.0,1,10.617,4826.0,69,31.3438
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,10,0.983333,0.077219,59.0,2.0,2.0,0.9833333194255829,0.07721946015954015,60.0,,,,60.0,4.358549999999999,231.66666666666666,2,12.521700000000001,4956.0,1,13.794,4826.0,69,32.07579999999998
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,11,0.983333,0.070275,59.0,2.0,2.0,0.9833333194255829,0.07027490995824334,60.0,,,,60.0,4.3603,231.66666666666666,2,12.41075,4968.0,1,14.066,4830.0,69,33.91759999999999
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,12,1.0,0.047353,58.0,2.0,2.0,1.0,0.04735298268496985,60.0,,,,60.0,4.50815,233.4,2,12.14195,4962.0,1,10.792,4826.0,69,32.397200000000005
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,13,0.933333,0.158672,59.0,2.0,2.0,0.9333333075046539,0.15867164731025696,60.0,,,,60.0,4.4791,230.2,2,12.3187,4978.0,1,11.796,4822.0,69,33.062999999999995
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,14,0.933333,0.144061,58.0,2.0,2.0,0.9333333373069764,0.1440612599253654,60.0,,,,59.0,4.3923,231.3050847457627,2,17.28345,4988.0,1,10.791,4818.0,68,33.21205
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,15,0.983333,0.105892,58.0,2.0,2.0,0.9833333194255829,0.10589172504842274,60.0,,,,60.0,4.5225,230.13333333333333,2,13.9315,4960.0,1,13.839,4810.0,69,32.29219999999999
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,16,1.0,0.045777,58.0,2.0,2.0,1.0,0.0457773189991712,60.0,,,,60.0,4.72545,230.33333333333334,2,17.81115,4936.0,1,14.902,4806.0,69,33.711400000000005
