experiment,architecture,security,topology,mode,attempt_id,device_suffix,class_name,samples_seen,pct_within_gateway_attempt
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_A,scan_A,77,6.899641577060931
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_A,unknown,80,7.168458781362006
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_B,mqtt_bruteforce,86,7.706093189964158
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_B,normal,849,76.0752688172043
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_B,scan_A,101,9.050179211469533
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_B,unknown,80,7.168458781362006
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_A,mqtt_bruteforce,125,17.857142857142858
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_A,normal,336,48.0
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_A,scan_A,139,19.857142857142858
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_A,unknown,100,14.285714285714285
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_B,normal,602,90.93655589123867
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,gateway_B,unknown,60,9.06344410876133
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_A,mqtt_bruteforce,38,5.413105413105413
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_A,normal,527,75.07122507122507
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_A,scan_A,37,5.270655270655271
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_A,unknown,100,14.245014245014245
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_B,mqtt_bruteforce,49,7.413010590015129
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_B,normal,505,76.39939485627836
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_B,scan_A,47,7.110438729198185
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,gateway_B,unknown,60,9.07715582450832
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_A,mqtt_bruteforce,48,6.789250353606789
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_A,normal,501,70.86280056577087
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_A,scan_A,58,8.203677510608204
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_A,unknown,100,14.144271570014144
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_B,normal,602,90.93655589123867
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,gateway_B,unknown,60,9.06344410876133
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_A,mqtt_bruteforce,57,8.085106382978724
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_A,normal,508,72.05673758865248
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_A,scan_A,40,5.673758865248227
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_A,unknown,100,14.184397163120568
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_B,normal,603,90.9502262443439
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,gateway_B,unknown,60,9.049773755656108
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_A,mqtt_bruteforce,42,6.0
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_A,normal,509,72.71428571428571
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_A,scan_A,49,7.000000000000001
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_A,unknown,100,14.285714285714285
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_B,mqtt_bruteforce,45,6.77710843373494
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_B,normal,508,76.50602409638554
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_B,scan_A,51,7.680722891566265
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,gateway_B,unknown,60,9.036144578313253
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_A,mqtt_bruteforce,145,20.655270655270655
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_A,normal,324,46.15384615384615
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_A,scan_A,133,18.945868945868945
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_A,unknown,100,14.245014245014245
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_B,normal,604,90.96385542168674
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,gateway_B,unknown,60,9.036144578313253
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_A,mqtt_bruteforce,49,6.872370266479663
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_A,normal,520,72.9312762973352
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_A,scan_A,44,6.171107994389901
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_A,unknown,100,14.025245441795231
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_B,mqtt_bruteforce,35,5.208333333333334
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_B,normal,527,78.42261904761905
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_B,scan_A,50,7.440476190476191
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,gateway_B,unknown,60,8.928571428571429
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_A,mqtt_bruteforce,50,7.072135785007072
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_A,normal,510,72.13578500707214
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_A,scan_A,47,6.647807637906649
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_A,unknown,100,14.144271570014144
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_B,normal,602,90.93655589123867
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,gateway_B,unknown,60,9.06344410876133
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_A,mqtt_bruteforce,146,22.15477996965099
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_A,normal,328,49.77238239757208
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_A,scan_A,127,19.271623672230653
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_A,unknown,58,8.801213960546281
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_B,normal,600,91.1854103343465
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,gateway_B,unknown,58,8.814589665653495
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_A,mqtt_bruteforce,84,8.267716535433072
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_A,normal,771,75.88582677165354
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_A,scan_A,71,6.988188976377953
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_A,unknown,90,8.858267716535433
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_B,mqtt_bruteforce,75,7.389162561576355
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_B,normal,771,75.96059113300493
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_B,scan_A,79,7.783251231527094
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,gateway_B,unknown,90,8.866995073891626
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_A,mqtt_bruteforce,35,5.271084337349398
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_A,normal,526,79.21686746987952
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_A,scan_A,43,6.475903614457831
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_A,unknown,60,9.036144578313253
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_B,normal,608,91.01796407185628
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,gateway_B,unknown,60,8.982035928143713
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,gateway_A,mqtt_bruteforce,37,5.606060606060606
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,gateway_A,normal,514,77.87878787878788
