timestamp,device_name,device_suffix,hostname,run_id,stage,fl_round,num_samples,accuracy,loss,buffer_target,experiment,architecture,mode,attempt_id,source_file,fog_role,peer_count
2026-04-15 15:07:21,gateway,gateway_A,raspberrypi,3,local_train,0,30,0.6666666865348816,0.8778215050697327,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:08:15,gateway,gateway_A,raspberrypi,3,local_train,1,30,0.9333333373069764,0.1583544760942459,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:09:13,gateway,gateway_A,raspberrypi,3,local_train,2,30,1.0,0.06561841070652,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:10:12,gateway,gateway_A,raspberrypi,3,local_train,3,30,0.9666666388511658,0.2073262482881546,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:11:12,gateway,gateway_A,raspberrypi,3,local_train,4,30,0.9666666388511658,0.079812966287136,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:13:32,gateway,gateway_A,raspberrypi,3,local_train,5,30,0.8666666746139526,0.4913859665393829,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:14:33,gateway,gateway_A,raspberrypi,3,local_train,6,30,0.8999999761581421,0.1844680607318878,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:15:33,gateway,gateway_A,raspberrypi,3,local_train,7,30,0.8666666746139526,0.4348771274089813,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:16:34,gateway,gateway_A,raspberrypi,3,local_train,8,30,0.8333333134651184,0.4565137922763824,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:17:34,gateway,gateway_A,raspberrypi,3,local_train,9,30,0.8999999761581421,0.2309491038322448,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:18:37,gateway,gateway_A,raspberrypi,3,local_train,10,30,1.0,0.0991340577602386,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:19:36,gateway,gateway_A,raspberrypi,3,local_train,11,30,0.8333333134651184,0.3806181848049164,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:20:34,gateway,gateway_A,raspberrypi,3,local_train,12,30,0.8999999761581421,0.1604587286710739,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:21:33,gateway,gateway_A,raspberrypi,3,local_train,13,30,0.8666666746139526,0.2047582119703292,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:22:34,gateway,gateway_A,raspberrypi,3,local_train,14,30,0.8666666746139526,0.355570912361145,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:23:32,gateway,gateway_A,raspberrypi,3,local_train,15,30,0.8666666746139526,0.4492025971412658,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:24:30,gateway,gateway_A,raspberrypi,3,local_train,16,30,0.9666666388511658,0.1135342791676521,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:25:29,gateway,gateway_A,raspberrypi,3,local_train,17,30,0.800000011920929,0.3205752670764923,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:26:29,gateway,gateway_A,raspberrypi,3,local_train,18,30,1.0,0.0898922309279441,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:27:27,gateway,gateway_A,raspberrypi,3,local_train,19,30,0.9666666388511658,0.0699544325470924,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_A_3.csv,,
2026-04-15 15:07:21,gateway,gateway_B,gatewayB,3,local_train,0,30,0.6666666865348816,0.8518619537353516,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:08:15,gateway,gateway_B,gatewayB,3,local_train,1,30,0.9333333373069764,0.1560298055410385,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:09:13,gateway,gateway_B,gatewayB,3,local_train,2,30,1.0,0.0305981040000915,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:10:14,gateway,gateway_B,gatewayB,3,local_train,3,30,1.0,0.0172589141875505,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:11:12,gateway,gateway_B,gatewayB,3,local_train,4,30,1.0,0.0207184199243783,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:13:33,gateway,gateway_B,gatewayB,3,local_train,5,30,1.0,0.027023883536458,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:14:34,gateway,gateway_B,gatewayB,3,local_train,6,30,1.0,0.0139822149649262,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:15:33,gateway,gateway_B,gatewayB,3,local_train,7,30,1.0,0.0346436351537704,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:16:31,gateway,gateway_B,gatewayB,3,local_train,8,30,1.0,0.0102854557335376,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:17:32,gateway,gateway_B,gatewayB,3,local_train,9,30,1.0,0.0144890826195478,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:18:34,gateway,gateway_B,gatewayB,3,local_train,10,30,1.0,0.0091447830200195,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:19:35,gateway,gateway_B,gatewayB,3,local_train,11,30,1.0,0.0153994681313633,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:20:34,gateway,gateway_B,gatewayB,3,local_train,12,30,1.0,0.0278361495584249,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:21:33,gateway,gateway_B,gatewayB,3,local_train,13,30,1.0,0.0076103564351797,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:22:31,gateway,gateway_B,gatewayB,3,local_train,14,30,1.0,0.0068574091419577,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:23:32,gateway,gateway_B,gatewayB,3,local_train,15,30,1.0,0.0068125976249575,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:24:30,gateway,gateway_B,gatewayB,3,local_train,16,30,1.0,0.0041675637476146,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:25:29,gateway,gateway_B,gatewayB,3,local_train,17,30,1.0,0.0172545947134494,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:26:28,gateway,gateway_B,gatewayB,3,local_train,18,30,1.0,0.0060940161347389,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 15:27:27,gateway,gateway_B,gatewayB,3,local_train,19,30,1.0,0.0041943807154893,30.0,RN_ASCON,RN,ascon,4,model_metrics_gateway_gateway_B_3.csv,,
2026-04-15 16:04:24,gateway,gateway_A,raspberrypi,4,local_train,0,30,0.7333333492279053,0.9979569911956788,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:05:19,gateway,gateway_A,raspberrypi,4,local_train,1,30,1.0,0.0837436839938163,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:06:18,gateway,gateway_A,raspberrypi,4,local_train,2,30,1.0,0.0367907434701919,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:07:17,gateway,gateway_A,raspberrypi,4,local_train,3,30,1.0,0.0207193829119205,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:08:16,gateway,gateway_A,raspberrypi,4,local_train,4,30,1.0,0.0187919232994318,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:11:06,gateway,gateway_A,raspberrypi,4,local_train,5,30,0.8666666746139526,0.3400307595729828,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:12:05,gateway,gateway_A,raspberrypi,4,local_train,6,30,0.800000011920929,0.684702455997467,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:13:04,gateway,gateway_A,raspberrypi,4,local_train,7,30,0.9333333373069764,0.2494259774684906,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
2026-04-15 16:14:03,gateway,gateway_A,raspberrypi,4,local_train,8,30,0.8666666746139526,0.3235123753547668,30.0,RN_ASCON,RN,ascon,5,model_metrics_gateway_gateway_A_4.csv,,
