variant,model,security,topology,attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_B,RPi_peer->RPi_leader,encrypt,20.0,38.3991,37.977000000000004,45.13360000000001,54.778,3643.85,4942.0,1298.15,35.62581566005655,1.3562581566005656
CNN_ASCON_FOG,CNN,ASCON,FOG,5,server_transport,Asus,PC->RPi,encrypt,20.0,29.472299999999997,14.646,110.27710000000005,167.45,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,server_transport,Asus,RPi->PC,decrypt,20.0,24.01455,13.556000000000001,80.06650000000003,124.802,3667.85,4990.2,1322.35,36.05250443536431,1.3605250443536432
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,ESP32->RPi,decrypt,604.0,2.8686622516556293,3.2865,4.6208,7.974,112.90894039735099,228.66225165562915,115.75331125827815,103.16017868660651,2.0316017868660654
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_B,ESP32->RPi,decrypt,605.0,3.1942148760330578,3.832,4.582,5.994,113.17685950413224,229.0925619834711,115.91570247933885,103.07552690153186,2.0307552690153186
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,34.66265,33.821,41.6351,46.121,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,35.17865,34.692499999999995,38.776,41.588,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,36.8193,36.479,38.92945,43.821,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,37.9926,37.596000000000004,40.80825,46.646,3684.55,4996.4,1311.85,35.60411622385972,1.356041162238597
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,20.0,36.977700000000006,34.6035,41.63235000000003,82.109,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,20.0,34.84654999999999,34.336,37.78155,41.041,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_A,RPi_peer->RPi_leader,decrypt,20.0,35.897549999999995,35.070499999999996,41.7784,45.491,3669.65,4976.2,1306.55,35.60431061860077,1.3560431061860077
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_transport,gateway_B,RPi_peer->RPi_leader,encrypt,20.0,37.1622,36.7845,40.46465,43.65,3669.65,4976.2,1306.55,35.60431061860077,1.3560431061860077
CNN_ASCON_FOG,CNN,ASCON,FOG,6,server_transport,Asus,PC->RPi,encrypt,20.0,13.540750000000003,12.908000000000001,16.853800000000007,27.946,3566.9,4839.0,1272.1,35.6640466508857,1.356640466508857
CNN_ASCON_FOG,CNN,ASCON,FOG,6,server_transport,Asus,RPi->PC,decrypt,20.0,12.961849999999998,11.160499999999999,21.0146,22.299,3684.55,5012.4,1327.85,36.038368401729215,1.3603836840172923
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,ESP32->RPi,decrypt,601.0,2.8738685524126453,3.235,4.558,7.211,112.27121464226289,227.9151414309484,115.64392678868552,103.74035288960405,2.03740352889604
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_B,ESP32->RPi,decrypt,601.0,3.2221580698835277,3.799,4.459,5.03,112.37104825291182,228.01497504159732,115.64392678868552,103.68454519153495,2.0368454519153496
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,33.17,33.319,35.2103,35.254,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
