variant,attempt_id,global_round,gateway_a,gateway_b,accuracy_gateway_A,accuracy_gateway_B,accuracy_skew_abs,loss_gateway_A,loss_gateway_B,loss_skew_abs,gateway_train_skew_sec,accuracy_gateway_fog_leader,accuracy_gateway_fog_peer,loss_gateway_fog_leader,loss_gateway_fog_peer,global_accuracy,global_loss
CNN_ASCON_FOG,5,20,gateway_A,gateway_B,1.0,1.0,0.0,0.0490677766501903,0.0003860619617626,0.0486817146884277,5.0,,,,,1.0,0.024727
CNN_ASCON_FOG,6,1,gateway_A,gateway_B,0.6666666865348816,0.8666666746139526,0.19999998807907104,0.7785906195640564,0.7718570828437805,0.006733536720275879,1.0,,,,,0.766667,0.775224
CNN_ASCON_FOG,6,2,gateway_A,gateway_B,0.699999988079071,0.800000011920929,0.10000002384185791,0.8189403414726257,0.7336282134056091,0.0853121280670166,0.0,,,,,0.75,0.776284
CNN_ASCON_FOG,6,3,gateway_A,gateway_B,0.7333333492279053,0.8666666746139526,0.13333332538604736,0.6045657992362976,0.4994255006313324,0.10514029860496521,0.0,,,,,0.8,0.551996
CNN_ASCON_FOG,6,4,gateway_A,gateway_B,0.8333333134651184,0.8666666746139526,0.03333336114883423,0.3697461485862732,0.3195658028125763,0.0501803457736969,0.0,,,,,0.85,0.344656
CNN_ASCON_FOG,6,5,gateway_A,gateway_B,0.7666666507720947,0.9333333373069764,0.1666666865348817,0.4447455108165741,0.3805721998214721,0.06417331099510198,0.0,,,,,0.85,0.412659
CNN_ASCON_FOG,6,6,gateway_A,gateway_B,0.8666666746139526,0.9333333373069764,0.06666666269302379,0.3005591034889221,0.1917078644037246,0.10885123908519753,1.0,,,,,0.9,0.246133
CNN_ASCON_FOG,6,7,gateway_A,gateway_B,0.9333333373069764,0.8666666746139526,0.06666666269302379,0.3160616755485534,0.2790211737155914,0.037040501832962036,0.0,,,,,0.9,0.297541
CNN_ASCON_FOG,6,8,gateway_A,gateway_B,0.8999999761581421,0.9333333373069764,0.03333336114883434,0.2506352066993713,0.1730426400899887,0.07759256660938257,0.0,,,,,0.916667,0.211839
CNN_ASCON_FOG,6,9,gateway_A,gateway_B,0.9333333373069764,0.9666666388511658,0.03333330154418934,0.1679144501686096,0.1386212408542633,0.029293209314346286,0.0,,,,,0.95,0.153268
CNN_ASCON_FOG,6,10,gateway_A,gateway_B,0.9666666388511658,0.800000011920929,0.16666662693023682,0.1670842468738556,0.4100343585014343,0.24295011162757874,0.0,,,,,0.883333,0.288559
CNN_ASCON_FOG,6,11,gateway_A,gateway_B,0.8666666746139526,0.8999999761581421,0.03333330154418945,0.2501606047153473,0.2239634543657302,0.026197150349617088,1.0,,,,,0.883333,0.237062
CNN_ASCON_FOG,6,12,gateway_A,gateway_B,0.9666666388511658,0.9666666388511658,0.0,0.1308925300836563,0.1070422157645225,0.023850314319133814,1.0,,,,,0.966667,0.118967
CNN_ASCON_FOG,6,13,gateway_A,gateway_B,0.9666666388511658,0.9333333373069764,0.03333330154418934,0.102720983326435,0.1676962226629257,0.06497523933649069,0.0,,,,,0.95,0.135209
CNN_ASCON_FOG,6,14,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.2098547369241714,0.0767272487282753,0.1331274881958961,1.0,,,,,0.983333,0.143291
CNN_ASCON_FOG,6,15,gateway_A,gateway_B,0.9333333373069764,0.6333333253860474,0.30000001192092907,0.1311252266168594,0.7722305059432983,0.6411052793264389,0.0,,,,,0.783333,0.451678
CNN_ASCON_FOG,6,16,gateway_A,gateway_B,0.8666666746139526,0.9333333373069764,0.06666666269302379,0.1941836029291153,0.197634220123291,0.0034506171941756925,1.0,,,,,0.9,0.195909
CNN_ASCON_FOG,6,17,gateway_A,gateway_B,0.8999999761581421,0.9666666388511658,0.06666666269302368,0.2349415719509124,0.1153754070401191,0.11956616491079329,0.0,,,,,0.933333,0.175158
CNN_ASCON_FOG,6,18,gateway_A,gateway_B,1.0,0.8666666746139526,0.13333332538604736,0.1029457375407219,0.2037797421216964,0.1008340045809745,0.0,,,,,0.933333,0.153363
CNN_ASCON_FOG,6,19,gateway_A,gateway_B,0.8666666746139526,0.9666666388511658,0.09999996423721313,0.1704151183366775,0.0984177589416503,0.0719973593950272,1.0,,,,,0.916667,0.134416
